rule_number,rule_name,duration,waive,setup_warning,warning,error,fatal
0,parsing: Rule 0,690.353,0,0,1,0,0
1103,Check if the correct related power pins are used in a liberty file: Rule 1103,32.980,0,0,0,0,0
15105,Naming convention check for buses: Rule 15105,8.339,0,1,0,0,0
15106,Check for the presence of a file: Rule 15106,3.917,0,0,0,0,0
15112,Pin direction check: Rule 15112,4.756,0,0,0,0,0
15118,Check power and ground pin names: Rule 15118,2.290,0,0,0,0,0
15122,Liberty vs UPF: Rule 15122,3.574,0,0,0,0,0
15133,Analog bidirectional pins check: Rule 15133,6.740,0,0,0,0,0
15206,Layer presence check: Rule 15206,5.895,0,0,0,0,0
15211,Pin location check: Rule 15211,9.401,0,0,0,0,0
15214,Polygon covered by BOUNDARY check: Rule 15214,1.934,0,0,0,0,0
15217,Pin width and length check: Rule 15217,2.976,0,0,0,0,0
15301,LEF CLASS check: Rule 15301,0.700,0,0,0,0,0
15302,LEF ORIGIN and SIZE check: Rule 15302,3.847,0,0,0,0,0
15304,LEF MACRO check: Rule 15304,5.231,0,0,0,0,0
15305,LEF HEADER check: Rule 15305,4.088,0,0,0,0,0
15306,LEF SYMMETRY check: Rule 15306,3.186,1,0,0,0,0
15308,LEF double PINS and rectangles check: Rule 15308,6.933,0,0,0,0,0
15315,LEF presence of sheet and detailed OBS layers check: Rule 15315,4.062,0,1,0,0,0
16002,compiles-lib-in-current-environment: Rule 16002,497.427,0,0,0,0,0
16015,Check-for-PIN-types-defined-in-attribute.xml: Rule 16015,0.731,0,0,0,0,0
16024,Check-for-ip2sd-error-messages: Rule 16024,0.798,0,0,6,0,0
16026,NDM-load-ability-check: Rule 16026,54.192,0,0,0,0,0
16029,Reports-UPF-sourcing-errors: Rule 16029,0.387,0,0,0,0,0
16048,Checks-attribute-value-in-attribute.XML: Rule 16048,1.244,0,0,1,0,0
16107,Liberty-file-naming-rule-check.: Rule 16107,7.207,0,0,0,0,0
16108,Analog-attribute-consistency-check: Rule 16108,2.501,0,0,1,0,0
16109,PSC-CSV-check: Rule 16109,6.112,0,0,0,9,0
16206,Hipspec-Compliance-check: Rule 16206,3.433,0,0,0,0,0
16215,Checks-that-pins-matching-the-bus-naming-convention-is-defined-within-buses: Rule 16215,3.391,0,0,0,0,0
16217,Flags-pins-that-have-illegal-related_pin-on-timing-arcs: Rule 16217,11.617,0,0,0,0,0
16225,Flags-errors-thrown-by-ship---swizzle-stage: Rule 16225,3.147,0,0,2,0,0
16227,Check-for-custom-cfs: Rule 16227,3.399,0,0,0,0,0
16350,Flags-absolute-links-within-a-directory: Rule 16350,5.239,0,0,0,0,0
16510,Generic-attribute-conditions-check: Rule 16510,10.560,0,1,0,8,0
16704,Runs-OCV-presence-checks: Rule 16704,9.942,0,0,0,10208,0
16712,Flags-duplicate-pvts: Rule 16712,5.945,0,0,0,0,0
21,cell presence contents check: Rule 21,9.982,0,0,0,0,0
"31,32","pin quantity check: Rule 31,32",4.008,0,0,0,0,0
7309,Check pin properties across liberty files: Rule 7309,2.003,0,0,0,0,0
7410,Ensure arcs present for given related_pins: Rule 7410,2.021,0,0,0,0,0
7503,Check for double defined voltage_map: Rule 7503,1.854,0,0,0,0,0
7505,Intra-Liberty Related PG Pin Check: Rule 7505,10.067,0,0,0,0,0
7510,Generic attribute conditions check: Rule 7510,15.009,0,0,0,0,0
7601,Cross-check presence of all tables in NLDM files: Rule 7601,13.894,0,0,0,0,0
7605:OptUserParameters,Check user defined parameters and values in liberty file: Rule 7605,2.501,0,0,0,0,0
7605:UserParameters,Check user defined parameters and values in liberty file: Rule 7605,3.160,0,0,0,0,0
7607,Check the presence of arcs on pins: Rule 7607,3.064,0,0,0,0,0
