rule_number,rule_name,duration,waive,setup_warning,warning,error,fatal
0,parsing: Rule 0,554.314,0,0,1,0,0
1103,Check if the correct related power pins are used in a liberty file: Rule 1103,23.022,0,0,0,0,0
15105,Naming convention check for buses: Rule 15105,11.634,0,1,0,0,0
15106,Check for the presence of a file: Rule 15106,5.782,0,0,0,0,0
15112:Lef_pin_direction_check,Pin direction check: Rule 15112,5.802,0,0,0,0,0
15112:PinDirectionCheck,Pin direction check: Rule 15112,11.733,0,0,0,0,0
15118,Check power and ground pin names: Rule 15118,12.026,0,0,0,0,0
15122,Liberty vs UPF: Rule 15122,16.250,0,0,0,0,0
15133,Analog bidirectional pins check: Rule 15133,11.051,0,0,0,0,0
15206,Layer presence check: Rule 15206,5.725,0,0,0,0,0
15211,Pin location check: Rule 15211,14.105,0,0,0,0,0
15214,Polygon covered by BOUNDARY check: Rule 15214,5.556,0,0,0,0,0
15217,Pin width and length check: Rule 15217,5.592,0,0,0,0,0
15301,LEF CLASS check: Rule 15301,5.449,0,0,0,0,0
15302,LEF ORIGIN and SIZE check: Rule 15302,5.493,0,0,0,0,0
15304,LEF MACRO check: Rule 15304,7.000,0,0,0,0,0
15305,LEF HEADER check: Rule 15305,5.479,0,0,0,0,0
15306,LEF SYMMETRY check: Rule 15306,5.713,1,0,0,0,0
15308,LEF double PINS and rectangles check: Rule 15308,6.515,0,0,0,0,0
15315,LEF presence of sheet and detailed OBS layers check: Rule 15315,6.221,0,1,0,0,0
16002,compiles-lib-in-current-environment: Rule 16002,246.445,0,0,0,0,0
16015,Check-for-PIN-types-defined-in-attribute.xml: Rule 16015,5.552,0,0,0,0,0
16024,Check-for-ip2sd-error-messages: Rule 16024,5.243,0,0,6,0,0
16026,NDM-load-ability-check: Rule 16026,30.206,0,0,0,0,0
16029,Reports-UPF-sourcing-errors: Rule 16029,5.471,0,0,0,0,0
16048,Checks-attribute-value-in-attribute.XML: Rule 16048,5.199,0,0,1,0,0
16107,Liberty-file-naming-rule-check.: Rule 16107,12.202,0,0,0,0,0
16108,Analog-attribute-consistency-check: Rule 16108,5.768,0,0,1,0,0
16109,PSC-CSV-check: Rule 16109,11.270,0,0,0,9,0
16206,Hipspec-Compliance-check: Rule 16206,5.760,0,0,0,0,0
16215,Checks-that-pins-matching-the-bus-naming-convention-is-defined-within-buses: Rule 16215,10.791,0,0,0,0,0
16217,Flags-pins-that-have-illegal-related_pin-on-timing-arcs: Rule 16217,12.743,0,0,0,0,0
16225,Flags-errors-thrown-by-ship---swizzle-stage: Rule 16225,6.100,0,0,2,0,0
16227,Check-for-custom-cfs: Rule 16227,5.612,0,0,0,0,0
16350,Flags-absolute-links-within-a-directory: Rule 16350,5.285,0,0,0,0,0
16510,Generic-attribute-conditions-check: Rule 16510,17.961,0,1,0,8,0
16704,Runs-OCV-presence-checks: Rule 16704,15.167,0,0,0,13088,0
16712,Flags-duplicate-pvts: Rule 16712,11.908,0,0,0,0,0
21,cell presence contents check: Rule 21,17.105,0,0,0,0,0
"31,32","pin quantity check: Rule 31,32",18.747,0,0,0,0,0
7309,Check pin properties across liberty files: Rule 7309,11.256,0,0,0,0,0
7410,Ensure arcs present for given related_pins: Rule 7410,10.482,0,0,0,0,0
7503,Check for double defined voltage_map: Rule 7503,10.593,0,0,0,0,0
7505,Intra-Liberty Related PG Pin Check: Rule 7505,12.665,0,0,0,0,0
7510,Generic attribute conditions check: Rule 7510,13.549,0,0,0,0,0
7601,Cross-check presence of all tables in NLDM files: Rule 7601,19.714,0,0,0,0,0
7605:OptUserParameters,Check user defined parameters and values in liberty file: Rule 7605,11.158,0,0,0,0,0
7605:UserParameters,Check user defined parameters and values in liberty file: Rule 7605,10.359,0,0,0,0,0
7607,Check the presence of arcs on pins: Rule 7607,12.371,0,0,0,0,0
