format_id,waive,setup_warning,warning,error,fatal
CELLS~systemverilog~arf066b128e1r1w0cbbehsaa4acw.sv,0,0,0,0,0
MACRO~lef~MACRO~arf066b128e1r1w0cbbehsaa4acw.lef,0,0,0,0,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tmin_0.55v_100c.min.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tmin_0.65v_100c.min.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tmin_0.85v_100c.min.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tmin_1.10v_100c.min.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tttt_0.55v_100c.max.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tttt_0.65v_100c.max.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tttt_0.85v_100c.max.lib,0,0,0,1,0
NLDM~synopsys~NLDM~arf066b128e1r1w0cbbehsaa4acw_p1276d4_tttt_1.10v_100c.max.lib,0,0,0,1,0
upf~upf~arf066b128e1r1w0cbbehsaa4acw.upf,0,0,0,0,0
None,0,1,0,0,0
