           IP = DFx JTAG BFM
      Project = All
    Variation = ALL
    Milestone = 1.0
 Rule version = 14.14.0
         Date = Sun Jun  8 23:47:28 IST 2014
         User = sbulusu

 Override File = /nfs/iind/disks/mg_disk0971/users/sbulusu/devlpmnt/ip-jtag-bfm/tools/zirconqa/all_override_14.14.0.dat

Note: N/A - Approved waiver of type N/A
Note: WAIVER ## - Approved waiver

Category                Pass Fail Waived  N/A  Total
----------------------- ---- ---- ---- ------ -----
1 Build & Run            10    0    0    3     10
12 Phys Design Enabling   1    0    0   28      1
15 Review                 9    0    0    5      9
19 Simulation             5    0    0   13      5
20 SV TB                 22    1    0    3     23
4 DFt                     2    0    0   19      2
5 Documentation           2    4    0    3      6
7 FEV                     1    0    0   11      1
----------------------- ---- ---- ---- ------ -----
Total                    52    5    0   85     57

Note: AUTO RULES SUMMARY: pass: 30, fail: 5, waived: 0, N/A: 41, total: 35
Note: MANUAL RULES SUMMARY: pass: 22, fail: 0, waived: 0, N/A: 44, total: 22

Rule     Type    POR  Category             Name                                                                   Result
-------- ------- ---- -------------------- ---------------------------------------------------------------------- ------
1.10.a   Auto    YES  Build & Run          ACE required libraries exist                                           PASS
1.11.a   Auto    YES  Build & Run          ACE UDF contents must be re-usable                                     PASS
1.12.a   Auto    YES  Build & Run          ACE support for power aware simulation exists                          N/A 13941
1.14.a   Auto    YES  Build & Run          ACE VCS compilation is clean                                           PASS
1.15.a   Auto    YES  Build & Run          ACE Verdi compilation is clean                                         PASS
1.16.a   Manual  YES  Build & Run          OVM test sequences are reusable                                        PASS
1.17.a   Manual  YES  Build & Run          IP RTL+IP env must compile including UPF in the SoC environment...     N/A 13685
1.19.a   Auto    YES  Build & Run          Shared library not exported in ACE                                     PASS
1.2.a    Auto    YES  Build & Run          All sub-IPs are uniquified                                             PASS
1.20.a   Manual  YES  Build & Run          Workarounds tie-offs etc.                                              N/A 13686
1.270.a  Manual  YES  Build & Run          IP must follow POR directory structure                                 PASS
1.8.a    Auto    YES  Build & Run          Use SOC defined BFM versions                                           PASS
1.9.a    Auto     -   Build & Run          Use SOC defined tool versions                                          PASS
10.104.a Manual   -   MCP/FP               Fishtail passing                                                       N/A 13763
11.105.a Auto    YES  RDL                  [CR] RDL file delivered                                                N/A 13980
11.105.b Auto    YES  RDL                  [CR] RAL files delivered                                               N/A 13981
11.107.a Auto    YES  RDL                  [FUSE] RDL file delivered                                              N/A 13982
11.107.b Auto    YES  RDL                  [FUSE] RAL files delivered                                             N/A 13976
11.111.a Auto    YES  RDL                  [CR] RDL quality checks run                                            N/A 13977
11.112.a Manual  YES  RDL                  [FUSE+STRAP] RDL quality checks run                                    N/A 13764
11.168.a Auto    YES  RDL                  IPs should use Fuse Pull Completion Message Format                     N/A 13978
11.262.a Manual  YES  RDL                  [TAP] RDL quality checks run                                           N/A 13765
11.263.a Manual  YES  RDL                  [TAP] RDL verified against RTL                                         N/A 13766
11.271.a Manual  YES  RDL                  [CR] RDL verified against RTL                                          N/A 13767
11.272.a Manual  YES  RDL                  [FUSE+STRAP] RDL verified against RTL                                  N/A 13768
11.273.a Auto    YES  RDL                  [TAP] RAL file delivered                                               N/A 13979
12.1.a   Auto     -   Phys Design Enabling The current_design command or any procedure using current_design...    N/A 13983
12.115.a Manual  YES  Phys Design Enabling All virtual clocks should be defined in a separate file                N/A 13770
12.118.a Auto    YES  Phys Design Enabling Exceptions among clock groups should only be described in...           N/A 13986
12.118.b Manual   -   Phys Design Enabling Exceptions among clock groups should be described in a separate file   N/A 13771
12.120.a Auto    YES  Phys Design Enabling No KITS flow scripts are present in the IP scripts directory           N/A 13987
12.123.a Auto     -   Phys Design Enabling The block_setup.tcl file is clean                                      N/A 13988
12.124.a Auto     -   Phys Design Enabling Provide timing reports for review and quality checking.                N/A 13989
12.275.a Auto     -   Phys Design Enabling "check_mv_design" is run and free of errors.Warnings are...            N/A 13990
12.276.a Auto    YES  Phys Design Enabling IO delay constraints is provided                                       N/A 13991
12.277.a Auto    YES  Phys Design Enabling All definitions and contraints files follow the default KITS flow      N/A 13992
12.278.a Manual  YES  Phys Design Enabling Any special strategy for synthesis (e.g. ungroup/flat/-...             N/A 13772
12.279.a Manual   -   Phys Design Enabling Only CTECH cells on clock paths are allowed.                           N/A 13773
12.280.a Auto    YES  Phys Design Enabling No unclocked registers in DC Synthesis results                         N/A 13993
12.281.a Auto    YES  Phys Design Enabling Scan configuration files must be provided                              N/A 13994
12.282.a Manual  YES  Phys Design Enabling Max leakage power budget defined to be used as constraint during...    N/A 13774
12.283.a Manual  YES  Phys Design Enabling Max power virus number to be used as constraint during IR drop...      N/A 13775
12.284.a Auto     -   Phys Design Enabling No hard coded clocks in DC constraint APIs..                           N/A 13995
12.285.a Auto    YES  Phys Design Enabling Multi-Cycle Paths and False Paths specification is provided            PASS
12.286.a Manual  YES  Phys Design Enabling Timing critical signals within the IP and at IP boundary               N/A 13776
12.287.a Manual  YES  Phys Design Enabling I/O are flopped . Specification of IOs which are not flopped to be...  N/A 13777
12.288.a Manual  YES  Phys Design Enabling SDC constraints in RDT format                                          N/A 13778
12.289.a Manual  YES  Phys Design Enabling Any logic on the clock path should use clock cells                     N/A 13779
12.291.a Auto    YES  Phys Design Enabling Gate count numbers provided through design_qor report                  N/A 13997
12.292.a Manual   -   Phys Design Enabling Top-level port and parameter changes are defined between releases      N/A 13780
12.293.a Manual  YES  Phys Design Enabling Synthesis parameters are set in the synthesis flow . IP...             N/A 13781
12.294.a Manual   -   Phys Design Enabling Review and waive any logic on reset violations                         N/A 13782
12.55.a  Manual  YES  Phys Design Enabling HIPs/EBBs follow EBB methodology                                       N/A 13769
12.55.b  Auto     -   Phys Design Enabling The EBB file must exist                                                N/A 13985
12.6.a   Auto    YES  Phys Design Enabling Must have a RTL list file for synthesis                                N/A 13984
13.127.a Manual  YES  Power Intent         Require UPF 1.0 only                                                   N/A 13783
13.130.a Manual  YES  Power Intent         UPF including sub blocks using load_upf                                N/A 13784
13.185.a Manual  YES  Power Intent         Power Management testing (S0ix save/restore DVFS etc.)                 N/A 13785
13.302.a Manual  YES  Power Intent         Power Enable and acknoledgement port names defined                     N/A 13786
13.303.a Manual  YES  Power Intent         Power and ground connections to hardIP/MACRO or non-stdcell defined    N/A 13787
13.304.a Manual  YES  Power Intent         Any requirements for EBB : RF/ROM/SRAM power enable connections...     N/A 13788
13.305.a Manual  YES  Power Intent         Any requirements for DELAY cells in power enable chain is...           N/A 13789
13.306.a Manual  YES  Power Intent         Primary  power are defined UPF for each power domain ( secondary...    N/A 13790
13.307.a Manual  YES  Power Intent         Netlist / post synthesis Spygalss-LP run                               N/A 13791
13.312.a Manual  YES  Power Intent         All Power intent Collateral Exists                                     N/A 13792
13.313.a Manual  YES  Power Intent         RTL free from power-intent logic                                       N/A 13793
14.131.a Auto    YES  Power Lint           Spyglass LP waiver files must exist                                    N/A 13998
14.131.b Auto    YES  Power Lint           Spyglass LP report files must exist                                    N/A 13999
14.131.c Auto     -   Power Lint           Spyglass LP waiver files must exist and are uniquified with [ip]_...   N/A 14000
14.131.d Auto    YES  Power Lint           Spyglass LP report files must exist and are clean                      N/A 14001
15.133.a Manual  YES  Review               All functionality coded, excluding DFx, power planes/do...             PASS
15.135.a Manual  YES  Review               All IP Providers are required to run functional GLS or XPROP           N/A 13794
15.148.a Auto    YES  Review               IP has HSD setup for tracking bugs, PCRs, etc.                         PASS
15.149.a Manual  YES  Review               IP-level RESET waveform review to facilitate integration               N/A 13795
15.150.a Manual  YES  Review               NO-INIT signals/paths needed for X-prop and random corrupt modes...    N/A 13796
15.159.a Manual  YES  Review               Major areas of validation RISK from IP provider validation reviewed    PASS
15.160.a Manual  YES  Review               New features and content changes from prior drop reviewed              PASS
15.162.a Manual  YES  Review               Placement locations defined for IDV ODDI ODDD CLCP GLCP                N/A 13797
15.163.a Manual  YES  Review               Review of SoC global connectivity Param settings SAI opcodes ids...    N/A 13798
15.164.a Manual  YES  Review               Scalability modularity coded                                           PASS
15.166.a Manual  YES  Review               Validation Exit Review                                                 PASS
15.266.a Manual  YES  Review               IP follows naming convention based on DSS                              PASS
15.268.a Manual  YES  Review               IP is Chassis compliant based on Chassis HAS                           PASS
15.77.a  Manual  YES  Review               Commit dates for all IP drops established                              PASS
17.170.a Manual  YES  RTL+Lint             Lintra FPGA friendliness                                               N/A 13820
17.171.a Auto    YES  RTL+Lint             Lintra reports are clean                                               N/A 14004
17.171.b Auto    YES  RTL+Lint             Lintra reports are available                                           N/A 14005
17.172.a Auto    YES  RTL+Lint             Lintra waiver are available                                            N/A 14006
17.173.a Auto    YES  RTL+Lint             Waiver files are NOT applied to all files, but only to files in the IP N/A 14007
