format_id,waive,setup_warning,warning,error,fatal
MACRO~lef~MACRO~arf132b064e1r1w0cbbehbaa4acw.lef,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tmin_0.55v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tmin_0.65v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tmin_0.85v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tmin_1.10v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tttt_0.55v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tttt_0.65v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tttt_0.85v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf132b064e1r1w0cbbehbaa4acw_p1276d4_tttt_1.10v_100c.max.lib,0,0,0,0,0
None,0,1,0,0,0
