rule_number,rule_name,duration,waive,setup_warning,warning,error,fatal
0,parsing: Rule 0,729.906,0,0,1,0,0
1103,Check if the correct related power pins are used in a liberty file: Rule 1103,29.143,0,0,0,0,0
15105,Naming convention check for buses: Rule 15105,14.898,0,1,0,0,0
15106,Check for the presence of a file: Rule 15106,10.712,0,0,0,0,0
15112:Lef_pin_direction_check,Pin direction check: Rule 15112,6.750,0,0,0,0,0
15112:PinDirectionCheck,Pin direction check: Rule 15112,14.876,0,0,0,0,0
15118,Check power and ground pin names: Rule 15118,12.516,0,0,0,0,0
15122,Liberty vs UPF: Rule 15122,22.601,0,0,0,0,0
15133,Analog bidirectional pins check: Rule 15133,17.193,0,0,0,0,0
15206,Layer presence check: Rule 15206,7.181,0,0,0,0,0
15211,Pin location check: Rule 15211,16.634,0,0,0,0,0
15214,Polygon covered by BOUNDARY check: Rule 15214,6.305,0,0,0,0,0
15217,Pin width and length check: Rule 15217,7.290,0,0,0,0,0
15301,LEF CLASS check: Rule 15301,6.482,0,0,0,0,0
15302,LEF ORIGIN and SIZE check: Rule 15302,7.867,0,0,0,0,0
15304,LEF MACRO check: Rule 15304,10.801,0,0,0,0,0
15305,LEF HEADER check: Rule 15305,6.538,0,0,0,0,0
15306,LEF SYMMETRY check: Rule 15306,6.821,1,0,0,0,0
15308,LEF double PINS and rectangles check: Rule 15308,9.018,0,0,0,0,0
15315,LEF presence of sheet and detailed OBS layers check: Rule 15315,6.714,0,1,0,0,0
16002,compiles-lib-in-current-environment: Rule 16002,260.329,0,0,0,0,0
16015,Check-for-PIN-types-defined-in-attribute.xml: Rule 16015,6.047,0,0,0,1,0
16024,Check-for-ip2sd-error-messages: Rule 16024,5.235,0,0,6,0,0
16026,NDM-load-ability-check: Rule 16026,38.457,0,0,0,0,0
16029,Reports-UPF-sourcing-errors: Rule 16029,5.092,0,0,0,0,0
16048,Checks-attribute-value-in-attribute.XML: Rule 16048,9.439,0,0,1,0,0
16107,Liberty-file-naming-rule-check.: Rule 16107,18.722,0,0,0,0,0
16108,Analog-attribute-consistency-check: Rule 16108,6.727,0,0,1,0,0
16109,PSC-CSV-check: Rule 16109,15.109,0,0,0,9,0
16206,Hipspec-Compliance-check: Rule 16206,5.859,0,0,0,0,0
16215,Checks-that-pins-matching-the-bus-naming-convention-is-defined-within-buses: Rule 16215,11.617,0,0,0,0,0
16217,Flags-pins-that-have-illegal-related_pin-on-timing-arcs: Rule 16217,17.895,0,0,0,0,0
16225,Flags-errors-thrown-by-ship---swizzle-stage: Rule 16225,6.872,0,0,2,0,0
16227,Check-for-custom-cfs: Rule 16227,6.945,0,0,0,0,0
16350,Flags-absolute-links-within-a-directory: Rule 16350,8.488,0,0,0,0,0
16510,Generic-attribute-conditions-check: Rule 16510,19.539,0,1,0,8,0
16704,Runs-OCV-presence-checks: Rule 16704,15.564,0,0,0,7264,0
16712,Flags-duplicate-pvts: Rule 16712,16.567,0,0,0,0,0
21,cell presence contents check: Rule 21,20.637,0,0,0,0,0
"31,32","pin quantity check: Rule 31,32",16.824,0,0,0,0,0
7309,Check pin properties across liberty files: Rule 7309,11.841,0,0,0,0,0
7410,Ensure arcs present for given related_pins: Rule 7410,10.843,0,0,0,0,0
7503,Check for double defined voltage_map: Rule 7503,10.607,0,0,0,0,0
7505,Intra-Liberty Related PG Pin Check: Rule 7505,18.323,0,0,0,0,0
7510,Generic attribute conditions check: Rule 7510,16.599,0,0,0,0,0
7601,Cross-check presence of all tables in NLDM files: Rule 7601,23.147,0,0,0,0,0
7605:OptUserParameters,Check user defined parameters and values in liberty file: Rule 7605,11.474,0,0,0,0,0
7605:UserParameters,Check user defined parameters and values in liberty file: Rule 7605,12.029,0,0,0,0,0
7607,Check the presence of arcs on pins: Rule 7607,20.715,0,0,0,0,0
