format_id,waive,setup_warning,warning,error,fatal
CELLS~systemverilog~arf038b128e1r1w0cbbehraa4acw.sv,0,0,0,0,0
MACRO~lef~MACRO~arf038b128e1r1w0cbbehraa4acw.lef,0,0,0,0,0
MACRO~lef~MACRO~arf038b128e1r1w0cbbehraa4acw.prev.lef,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tmin_0.55v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tmin_0.65v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tmin_0.85v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tmin_1.10v_100c.min.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tttt_0.55v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tttt_0.65v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tttt_0.85v_100c.max.lib,0,0,0,0,0
NLDM~synopsys~NLDM~arf038b128e1r1w0cbbehraa4acw_p1276d4_tttt_1.10v_100c.max.lib,0,0,0,0,0
ndm~ndm~frame~arf038b128e1r1w0cbbehraa4acw.ndm,0,0,0,0,0
ndm~ndm~frame~arf038b128e1r1w0cbbehraa4acw.prev.ndm,0,0,0,0,0
ndm~ndm~timing~arf038b128e1r1w0cbbehraa4acw.ndm,0,0,0,0,0
ndm~ndm~timing~arf038b128e1r1w0cbbehraa4acw.prev.ndm,0,0,0,0,0
upf~upf~arf038b128e1r1w0cbbehraa4acw.upf,0,0,0,0,0
