rule_number,rule_name,duration,waive,setup_warning,warning,error,fatal
0,parsing: Rule 0,700.563,0,0,1,0,0
1103,Check if the correct related power pins are used in a liberty file: Rule 1103,27.944,0,0,0,0,0
15105,Naming convention check for buses: Rule 15105,15.936,0,1,0,0,0
15106,Check for the presence of a file: Rule 15106,8.394,0,0,0,0,0
15112:Lef_pin_direction_check,Pin direction check: Rule 15112,8.217,0,0,0,0,0
15112:PinDirectionCheck,Pin direction check: Rule 15112,17.377,0,0,0,0,0
15118,Check power and ground pin names: Rule 15118,14.874,0,0,0,0,0
15122,Liberty vs UPF: Rule 15122,21.017,0,0,0,0,0
15133,Analog bidirectional pins check: Rule 15133,17.238,0,0,0,0,0
15206,Layer presence check: Rule 15206,10.557,0,0,0,0,0
15211,Pin location check: Rule 15211,20.948,0,0,0,0,0
15214,Polygon covered by BOUNDARY check: Rule 15214,7.753,0,0,0,0,0
15217,Pin width and length check: Rule 15217,6.070,0,0,0,0,0
15301,LEF CLASS check: Rule 15301,5.710,0,0,0,0,0
15302,LEF ORIGIN and SIZE check: Rule 15302,10.486,0,0,0,0,0
15304,LEF MACRO check: Rule 15304,9.509,0,0,0,0,0
15305,LEF HEADER check: Rule 15305,6.817,0,0,0,0,0
15306,LEF SYMMETRY check: Rule 15306,8.573,1,0,0,0,0
15308,LEF double PINS and rectangles check: Rule 15308,11.885,0,0,0,0,0
15315,LEF presence of sheet and detailed OBS layers check: Rule 15315,7.951,0,1,0,0,0
16002,compiles-lib-in-current-environment: Rule 16002,324.351,0,0,0,0,0
16015,Check-for-PIN-types-defined-in-attribute.xml: Rule 16015,9.531,0,0,0,1,0
16024,Check-for-ip2sd-error-messages: Rule 16024,5.210,0,0,6,0,0
16026,NDM-load-ability-check: Rule 16026,67.609,0,0,0,0,0
16029,Reports-UPF-sourcing-errors: Rule 16029,5.837,0,0,0,0,0
16048,Checks-attribute-value-in-attribute.XML: Rule 16048,7.498,0,0,1,0,0
16107,Liberty-file-naming-rule-check.: Rule 16107,19.051,0,0,0,0,0
16108,Analog-attribute-consistency-check: Rule 16108,6.401,0,0,1,0,0
16109,PSC-CSV-check: Rule 16109,15.068,0,0,0,9,0
16206,Hipspec-Compliance-check: Rule 16206,10.674,0,0,0,0,0
16215,Checks-that-pins-matching-the-bus-naming-convention-is-defined-within-buses: Rule 16215,11.512,0,0,0,0,0
16217,Flags-pins-that-have-illegal-related_pin-on-timing-arcs: Rule 16217,17.080,0,0,0,0,0
16225,Flags-errors-thrown-by-ship---swizzle-stage: Rule 16225,9.022,0,0,2,0,0
16227,Check-for-custom-cfs: Rule 16227,8.879,0,0,0,0,0
16350,Flags-absolute-links-within-a-directory: Rule 16350,7.850,0,0,0,0,0
16510,Generic-attribute-conditions-check: Rule 16510,22.580,0,1,0,8,0
16704,Runs-OCV-presence-checks: Rule 16704,22.165,0,0,0,5216,0
16712,Flags-duplicate-pvts: Rule 16712,17.036,0,0,0,0,0
21,cell presence contents check: Rule 21,22.153,0,0,0,0,0
"31,32","pin quantity check: Rule 31,32",17.372,0,0,0,0,0
7309,Check pin properties across liberty files: Rule 7309,11.736,0,0,0,0,0
7410,Ensure arcs present for given related_pins: Rule 7410,11.497,0,0,0,0,0
7503,Check for double defined voltage_map: Rule 7503,12.452,0,0,0,0,0
7505,Intra-Liberty Related PG Pin Check: Rule 7505,19.862,0,0,0,0,0
7510,Generic attribute conditions check: Rule 7510,16.312,0,0,0,0,0
7601,Cross-check presence of all tables in NLDM files: Rule 7601,18.541,0,0,0,0,0
7605:OptUserParameters,Check user defined parameters and values in liberty file: Rule 7605,15.694,0,0,0,0,0
7605:UserParameters,Check user defined parameters and values in liberty file: Rule 7605,11.623,0,0,0,0,0
7607,Check the presence of arcs on pins: Rule 7607,14.386,0,0,0,0,0
